43.79732, -79.12110, 
43.79729, -79.12107, 
43.79725, -79.12106, 
43.79722, -79.12102, 
43.79718, -79.12100, 
43.79716, -79.12098, 
43.79712, -79.12095, 
43.79709, -79.12093, 
43.79706, -79.12091, 
43.79702, -79.12087, 
43.79698, -79.12084, 
43.79695, -79.12081, 
43.79692, -79.12077, 
43.79687, -79.12074, 
43.79685, -79.12072, 
43.79680, -79.12068, 
43.79677, -79.12064, 
43.79676, -79.12064, 
43.79672, -79.12059, 
43.79669, -79.12056, 
43.79666, -79.12052, 
43.79662, -79.12047, 
43.79662, -79.12046, 
43.79657, -79.12040, 
43.79653, -79.12037, 
43.79649, -79.12033, 
43.79646, -79.12029, 
43.79643, -79.12025, 
43.79639, -79.12022, 
43.79637, -79.12019, 
43.79635, -79.12016, 
43.79631, -79.12014, 
43.79629, -79.12011, 
43.79626, -79.12008, 
43.79623, -79.12006, 
43.79615, -79.11997, 
43.79613, -79.11993, 
43.79610, -79.11990, 
43.79607, -79.11987, 
43.79604, -79.11987, 
43.79599, -79.11987, 
43.79595, -79.11987, 
43.79594, -79.11987, 
43.79588, -79.11988, 
43.79573, -79.11990, 
43.79569, -79.11992, 
43.79566, -79.11996, 
43.79564, -79.11999, 
43.79561, -79.12002, 
43.79559, -79.12006, 
43.79557, -79.12011, 
43.79555, -79.12014, 
43.79553, -79.12018, 
43.79551, -79.12023, 
43.79549, -79.12026, 
43.79547, -79.12030, 
43.79545, -79.12033, 
43.79531, -79.12070, 
43.79531, -79.12076, 
43.79530, -79.12080, 
43.79529, -79.12085, 
43.79526, -79.12088, 
43.79523, -79.12092, 
43.79521, -79.12094, 
43.79518, -79.12097, 
43.79514, -79.12100, 
43.79511, -79.12100, 
43.79507, -79.12100, 
43.79505, -79.12101, 
43.79501, -79.12100, 
43.79496, -79.12099, 
43.79494, -79.12097, 
43.79490, -79.12094, 
43.79487, -79.12091, 
43.79486, -79.12088, 
43.79485, -79.12083, 
43.79483, -79.12079, 
43.79482, -79.12075, 
43.79482, -79.12069, 
43.79482, -79.12063, 
43.79482, -79.12057, 
43.79482, -79.12053, 
43.79482, -79.12047, 
43.79483, -79.12041, 
43.79485, -79.12037, 
43.79486, -79.12032, 
43.79487, -79.12027, 
43.79488, -79.12022, 
43.79489, -79.12016, 
43.79490, -79.12012, 
43.79490, -79.12006, 
43.79490, -79.12001, 
43.79490, -79.11999, 
43.79490, -79.11994, 
43.79490, -79.11990, 
43.79498, -79.11947, 
43.79499, -79.11942, 
43.79501, -79.11937, 
43.79504, -79.11936, 
43.79508, -79.11938, 
43.79512, -79.11939, 
43.79516, -79.11941, 
43.79520, -79.11942, 
43.79525, -79.11945, 
43.79528, -79.11945, 
43.79532, -79.11947, 
43.79536, -79.11948, 
43.79539, -79.11949, 
43.79543, -79.11949, 
43.79547, -79.11949, 
43.79551, -79.11950, 
43.79555, -79.11950, 
43.79558, -79.11949, 
43.79561, -79.11949, 
43.79565, -79.11949, 
43.79570, -79.11949, 
43.79573, -79.11949, 
43.79577, -79.11949, 
43.79580, -79.11949, 
43.79584, -79.11949, 
43.79587, -79.11949, 
43.79591, -79.11950, 
43.79595, -79.11951, 
43.79598, -79.11953, 
43.79602, -79.11954, 
43.79605, -79.11955, 
43.79608, -79.11955, 
43.79612, -79.11955, 
43.79615, -79.11955, 
43.79619, -79.11954, 
43.79621, -79.11954, 
43.79626, -79.11955, 
43.79638, -79.11966, 
43.79641, -79.11969, 
43.79646, -79.11974, 
43.79648, -79.11977, 
43.79651, -79.11979, 
43.79653, -79.11981, 
43.79657, -79.11985, 
43.79660, -79.11988, 
43.79662, -79.11994, 
43.79665, -79.11997, 
43.79668, -79.11999, 
43.79671, -79.12003, 
43.79673, -79.12006, 
43.79676, -79.12010, 
43.79677, -79.12011, 
43.79683, -79.12020, 
43.79686, -79.12025, 
43.79689, -79.12028, 
43.79692, -79.12031, 
43.79696, -79.12034, 
43.79699, -79.12037, 
43.79702, -79.12039, 
43.79704, -79.12043, 
43.79708, -79.12047, 
43.79711, -79.12051, 
43.79714, -79.12053, 
43.79721, -79.12055, 
43.79725, -79.12055, 
43.79727, -79.12058, 
43.79730, -79.12061, 
43.79733, -79.12063, 
43.79735, -79.12066, 
43.79739, -79.12068, 
43.79741, -79.12072, 
43.79743, -79.12076, 
43.79744, -79.12081, 
43.79746, -79.12085, 
43.79749, -79.12089, 
43.79753, -79.12091, 
43.79756, -79.12093, 
43.79758, -79.12096, 
43.79759, -79.12101, 
