# GsakName=Denmark
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 57.9524297,54.4516667,12.9058301,7.7153255
57.3430682,9.186312
57.3467802,9.206858
57.3502047,9.230537
57.3507187,9.235338
57.3559662,9.246667
57.3639717,9.2659215
57.3689037,9.2720465
57.3784282,9.2825215
57.3894352,9.2961815
57.3990162,9.309111
57.4111577,9.3211365
57.4383847,9.349474
57.4562652,9.36454
57.4668557,9.3743915
57.4783127,9.386747
57.4813162,9.390497
57.4934172,9.3995756
57.5046677,9.4071271
57.5160407,9.4159021
57.5240962,9.4212506
57.5400742,9.4338636
57.5538512,9.4459796
57.5633292,9.4549016
57.5723942,9.4642391
57.5838412,9.4766576
57.5948262,9.4904516
57.6118037,9.5152666
57.6217222,9.5316351
57.6389962,9.5645506
57.6471037,9.5724186
57.6598002,9.5862811
57.6645352,9.5902176
57.6763827,9.6012836
57.6878152,9.6137801
57.6933092,9.6204481
57.7008657,9.6302161
57.7113232,9.6454101
57.7159207,9.6526341
57.7258207,9.6690861
57.7351217,9.6867216
57.7376742,9.6920846
57.7430142,9.7022161
57.7516732,9.7209676
57.7596547,9.7407471
57.7669242,9.7614691
57.7734507,9.7830436
57.7792047,9.8053781
57.7841627,9.8283756
57.7883017,9.8519361
57.7916047,9.8759581
57.7940572,9.9003361
57.7956477,9.9249651
57.7963707,9.9497371
57.7962217,9.9745451
57.7958442,9.9863441
57.7956532,9.9996666
57.7946292,10.0244001
57.7929037,10.0468056
57.7927307,10.0681316
57.7928442,10.0761571
57.7956167,10.0863646
57.7989022,10.0966356
57.8029537,10.1057646
57.8054242,10.1107496
57.8140227,10.1296281
57.8186522,10.1406396
57.8208167,10.1452636
57.8309187,10.1647461
57.8369312,10.1768961
57.8538682,10.2140736
57.8603582,10.2302081
57.8699917,10.2505631
57.8774147,10.2651141
57.8859902,10.2840661
57.8913092,10.2972186
57.9081997,10.3416981
57.9121327,10.3527966
57.9170917,10.3675836
57.9235147,10.3893531
57.9291627,10.4118721
57.9374782,10.4521236
57.9410207,10.4720546
57.9432392,10.4859741
57.9452132,10.4999216
57.9472582,10.5162071
57.9495882,10.5407296
57.9503667,10.5511306
57.9518327,10.5758896
57.9524297,10.6007776
57.9521557,10.6256861
57.9511862,10.6476711
57.9492437,10.6742516
57.9480637,10.6873476
57.9451952,10.7116651
57.9444237,10.7166346
57.9409608,10.7263298
57.7845,10.9753056
57.7311826,11.0246834
57.5614352,11.0133541
57.5597987,11.0267936
57.5587937,11.0336761
57.523391,11.2237987
57.4281389,11.3143056
57.1916466,11.5068491
57.1852707,11.4995336
57.1745047,11.4853101
57.1642657,11.4698301
57.0691847,11.3102961
57.0626877,11.2989351
57.0536062,11.2812246
57.0451732,11.2624701
57.0374237,11.2427521
57.0303902,11.2221541
57.0241027,11.2007636
57.0185877,11.1786716
57.0138687,11.1559716
57.0099657,11.1327596
57.0081347,11.1186746
57.0041607,11.0951631
57.0010822,11.0715426
56.9988492,11.0476081
56.9974707,11.0234581
56.9969527,10.9991961
56.9972967,10.9749241
56.9985022,10.9507431
57.0005632,10.9267566
57.0034717,10.9030646
57.0072152,10.8797681
57.0117782,10.8569646
57.0171407,10.8347501
57.0232807,10.8132201
57.0301727,10.7924646
57.0377862,10.7725721
57.0447732,10.7558431
57.0367352,10.7522816
57.0315067,10.7514351
57.0184107,10.7477211
57.0054747,10.7424481
56.9927547,10.7356396
56.9881132,10.7327371
56.9777147,10.7254186
56.9579632,10.7123906
56.9555887,10.7106126
56.9436777,10.7030111
56.9359727,10.6976821
56.9261992,10.6902961
56.9174637,10.6867576
56.9047397,10.6799841
56.8922847,10.6717091
56.8801522,10.6619696
56.8683932,10.6508076
56.8588767,10.6402841
56.8451612,10.6412891
56.8372387,10.6426746
56.8317697,10.6451491
56.8215652,10.6558341
56.8150762,10.6621116
56.8030677,10.6723336
56.7907177,10.6810951
56.7784297,10.6881816
56.7724182,10.6911741
56.7592847,10.7005866
56.7466447,10.7078401
56.7374657,10.7119246
56.7380907,10.7186406
56.7395277,10.7426141
56.7400957,10.7667086
56.7403267,10.7923311
56.7398322,10.8180041
56.7387687,10.8385746
56.7367242,10.8624011
56.7338237,10.8859296
56.7323227,10.8959176
56.7296987,10.9115066
56.7251962,10.9337881
56.7218402,10.9539331
56.7172597,10.9765511
56.7118717,10.9985701
56.7074562,11.0141626
56.7049367,11.0224601
56.6980072,11.0429961
56.6903502,11.0626571
56.6819997,11.0813571
56.6729907,11.0990161
56.6631197,11.1162191
56.6601497,11.1220351
56.6505192,11.1385666
56.6403117,11.1539106
56.6295717,11.1680021
56.6183452,11.1807816
56.6112262,11.1877471
56.6023227,11.2029826
56.5989167,11.2083166
56.5924277,11.2193936
56.6023202,11.2098991
56.6129647,11.1977991
56.6246292,11.1863866
56.6366797,11.1763751
56.6490647,11.1678096
56.6617307,11.1607276
56.6746247,11.1551611
56.6876917,11.1511346
56.7008752,11.1486676
56.7074462,11.1480241
56.7148287,11.1477196
56.7280767,11.1484011
56.7412712,11.1506586
56.7543567,11.1544836
56.7672762,11.1598616
56.7799747,11.1667706
56.7923967,11.1751831
56.8044897,11.1850636
56.8162017,11.1963711
56.8274812,11.2090591
56.8382797,11.2230726
56.8586587,11.2535236
56.8683562,11.2700141
56.8774397,11.2876351
56.8875712,11.3103771
56.8947137,11.3286061
56.9017302,11.3491501
56.9079932,11.3704951
56.9134747,11.3925501
56.9181517,11.4152186
56.9220037,11.4384031
56.9250137,11.4620021
56.9265217,11.4776291
56.9274597,11.4893661
56.9287492,11.5134861
56.9291687,11.5376831
56.9321727,11.5568526
56.9351602,11.5804671
56.9372927,11.6043921
56.9385607,11.6285221
56.9389587,11.6527536
56.9384847,11.6769806
56.9371407,11.7010966
56.93598,11.712057
56.9325556,11.7148056
56.7544444,11.8459722
56.6013774,11.9083
56.5896388,11.8995746
56.5749212,11.8901601
56.5656797,11.8779031
56.5554847,11.8625661
56.5458637,11.8460621
56.5368572,11.8284631
56.5285027,11.8098431
56.5224582,11.7946511
56.5194192,11.7865246
56.5124722,11.7661076
56.5062752,11.7449191
56.5008532,11.7230496
56.4966782,11.7029771
56.4951557,11.6950756
56.4913502,11.6721246
56.4873002,11.6395041
56.4856552,11.6224376
56.4844327,11.6077096
56.4831597,11.5838666
56.4825762,11.5548926
56.4830267,11.5309526
56.4843372,11.5071161
56.4865037,11.4834826
56.4895162,11.4601526
56.4915847,11.4470456
56.4941397,11.4324281
56.4988022,11.4099971
56.5042622,11.3881596
56.5081817,11.3744811
56.5116392,11.3632146
56.5186217,11.3428366
56.5263222,11.3233211
56.5366622,11.3005891
56.5456997,11.2830406
56.5522637,11.2718506
56.5443702,11.2795376
56.5212557,11.2982726
56.5081777,11.3072126
56.4955022,11.3142181
56.4826007,11.3197056
56.4695272,11.3236531
56.4552407,11.3261941
56.4419942,11.3270221
56.4287457,11.3262846
56.4233077,11.3255336
56.4143557,11.3238031
56.3998407,11.3194786
56.3869262,11.3140991
56.3742342,11.3072126
56.3618187,11.2988496
56.3501907,11.2894511
56.3407107,11.2806346
56.3308197,11.2799986
56.3111111,11.2675
55.93,10.8833333
55.9133333,10.8766667
55.9041667,10.8633333
55.8383333,10.75
55.8116667,10.73
55.78,10.7283333
55.7583333,10.7088889
55.6616667,10.7066667
55.7083333,10.8
55.7333333,10.7819444
55.75,10.78
55.7722222,10.7933333
55.9416667,11
56.0966667,11.1483333
56.1116667,11.1716667
56.1366667,11.2527778
56.3818056,11.5066111
56.3873717,11.5144191
56.3928297,11.5361946
56.3974827,11.5585726
56.4013097,11.5814561
56.4042942,11.6047461
56.4064232,11.6283411
56.4076872,11.6521381
56.4080812,11.6760346
56.4076037,11.6999261
56.4062562,11.7237081
56.4037772,11.7496116
56.3680088,11.9968455
56.2819444,12.0331111
56.1840833,12.3415556
56.2139192,12.3677568
56.1869219,12.4166616
56.1621571,12.4644833
56.1408082,12.5003495
56.1254369,12.531946
56.1117736,12.5575647
56.10238,12.572936
56.0912786,12.5865993
56.0793232,12.6036785
56.0690757,12.6207576
56.0639519,12.6310052
56.0571202,12.6421066
56.0485807,12.6497922
56.0400411,12.654916
56.0272317,12.6566239
56.0033209,12.6591858
55.9853877,12.6557699
55.9264646,12.6523541
55.917925,12.6591858
55.9042617,12.6668714
55.8931602,12.6719952
55.8829127,12.6856585
55.8666875,12.6933441
55.8271944,12.7086111
55.6991667,12.8469167
55.6642041,12.8764742
55.6432946,12.8958739
55.6141667,12.8813611
55.5408611,12.7294444
55.4891944,12.7152778
55.4317222,12.6105833
55.3372787,12.6419719
55.325,12.59
55.2233333,12.6033333
55.1383333,12.7225
55.1116667,12.85
55.1051824,12.8546257
55.1030668,12.8565063
55.0993057,12.8574466
55.0870259,12.8619955
55.0732129,12.8680247
55.0609312,12.8737396
55.0484302,12.8814311
55.0356667,12.8876781
55.0241457,12.8919966
55.0204287,12.8936526
55.0074577,12.8984256
54.9980412,12.9010061
